"Local Government Area data:
Local Government areas range in population size between 100 to 1 million people. LGAs often have varying age and other demographic profiles affecting their coverage rates. LGA population estimates are taken from the latest ABS LGA by age release. 
Note on areas with large remote and very remote populations:
The  process of geocoding addresses in very remote areas and remote areas can lead to artificially low vaccine dose count records in those areas (as addresses cannot be ‘pinpointed’ to a specific client location, and therefore LGA). For vaccine rates relevant to these areas, please consult the weekly SA4 data release from Operation COVIDShield.  SA4 data is generally of larger population regions, so undercounting of doses has less impact on overall coverage rates. 
Methodology underpinning LGA Remoteness classification: 
LGA ‘remoteness’ is calculated by a assigning a modal remoteness value for each LGA, based on where the majority of the population in each LGA live - using 2016 Census meshblock population counts. Remote and Very Remote classifications accord with the same values if using the Modified Monash Model of remoteness.
* Indicates LGAs with apparent data issues resulting in coverage rates that may not be representative and should be treated with caution. ",,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Data extracted from AIR - as at 2359hrs on 05 December 2021,,,,,
LGA 2019 Name of Residence,State of Residence,Remoteness,% Received dose 1,% Received dose 2,LGA Population
Southern Downs (R),Queensland,Inner Regional Australia,93.1%,79.9%," 28,960 "
Sunshine Coast (R),Queensland,Major Cities of Australia,91.4%,83.1%," 268,741 "
Tablelands (R),Queensland,Outer Regional Australia,85.9%,75.1%," 20,959 "
Toowoomba (R),Queensland,Inner Regional Australia,92.0%,82.2%," 134,800 "
Torres (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 2,882 "
Torres Strait Island (R),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 3,436 "
Townsville (C),Queensland,Outer Regional Australia,86.6%,77.2%," 156,137 "
Weipa (T),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 3,180 "
Western Downs (R),Queensland,Outer Regional Australia,86.3%,74.0%," 26,827 "
Whitsunday (R),Queensland,Outer Regional Australia,85.7%,71.6%," 29,012 "
Winton (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 967 
Woorabinda (S),Queensland,Remote Australia - see note and refer to SA4 data,N/A,N/A, 679 
Wujal Wujal (S),Queensland,Remote Australia - see note and refer to SA4 data,N/A,N/A, 229 
Yarrabah (S),Queensland,Outer Regional Australia,66.5%,48.0%," 1,919 "
Adelaide (C),South Australia,Major Cities of Australia,92.3%,85.1%," 24,015 "
Adelaide Hills (DC),South Australia,Major Cities of Australia,>95%,92.2%," 32,450 "
Adelaide Plains (DC),South Australia,Inner Regional Australia,82.9%,71.9%," 7,450 "
Alexandrina (DC),South Australia,Inner Regional Australia,89.9%,83.3%," 23,281 "
Anangu Pitjantjatjara (AC),South Australia,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 1,947 "
Barossa (DC),South Australia,Inner Regional Australia,93.8%,86.7%," 20,392 "
Barunga West (DC),South Australia,Outer Regional Australia,86.5%,81.3%," 2,207 "
Berri and Barmera (DC),South Australia,Outer Regional Australia,94.8%,84.7%," 8,879 "
Burnside (C),South Australia,Major Cities of Australia,>95%,94.1%," 37,949 "
Campbelltown (C) (SA),South Australia,Major Cities of Australia,94.5%,86.8%," 43,509 "
Ceduna (DC),South Australia,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 2,730 "
Charles Sturt (C),South Australia,Major Cities of Australia,89.2%,81.0%," 100,321 "
Clare and Gilbert Valleys (DC),South Australia,Inner Regional Australia,91.3%,84.7%," 7,775 "
Cleve (DC),South Australia,Remote Australia - see note and refer to SA4 data,N/A,N/A," 1,443 "
Coober Pedy (DC),South Australia,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 1,512 "
Copper Coast (DC),South Australia,Outer Regional Australia,92.2%,83.9%," 12,687 "
Elliston (DC),South Australia,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 805 
Flinders Ranges (DC),South Australia,Outer Regional Australia,89.4%,80.4%," 1,418 "
Franklin Harbour (DC),South Australia,Remote Australia - see note and refer to SA4 data,N/A,N/A," 1,076 "
Gawler (T),South Australia,Major Cities of Australia,>95%,90.1%," 19,974 "
Goyder (DC),South Australia,Outer Regional Australia,81.6%,72.4%," 3,524 "
Grant (DC)*,South Australia,Outer Regional Australia,N/A,N/A," 7,072 "
Holdfast Bay (C),South Australia,Major Cities of Australia,>95%,90.4%," 32,295 "
Kangaroo Island (DC),South Australia,Remote Australia - see note and refer to SA4 data,N/A,N/A," 4,161 "
Karoonda East Murray (DC),South Australia,Outer Regional Australia,79.3%,73.0%, 915 
Kimba (DC),South Australia,Remote Australia - see note and refer to SA4 data,N/A,N/A, 813 
Kingston (DC) (SA),South Australia,Outer Regional Australia,94.8%,87.0%," 1,982 "
Light (RegC)*,South Australia,Inner Regional Australia,77.8%,70.1%," 12,222 "
Lower Eyre Peninsula (DC),South Australia,Remote Australia - see note and refer to SA4 data,N/A,N/A," 4,679 "
Loxton Waikerie (DC),South Australia,Outer Regional Australia,91.4%,82.8%," 9,682 "
Maralinga Tjarutja (AC),South Australia,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 61 
Marion (C),South Australia,Major Cities of Australia,92.7%,86.2%," 77,742 "
Mid Murray (DC),South Australia,Inner Regional Australia,77.6%,69.4%," 7,878 "
Mitcham (C),South Australia,Major Cities of Australia,>95%,91.2%," 55,506 "
Mount Barker (DC),South Australia,Inner Regional Australia,>95%,88.5%," 29,194 "
Mount Gambier (C) & Grant (DC),South Australia,Inner Regional Australia,91.60%,82.80%," 28,874 "
Mount Remarkable (DC),South Australia,Outer Regional Australia,79.2%,73.1%," 2,491 "
Murray Bridge (RC),South Australia,Inner Regional Australia,81.2%,72.3%," 18,602 "
Naracoorte and Lucindale (DC),South Australia,Outer Regional Australia,>95%,89.5%," 6,866 "
Northern Areas (DC),South Australia,Outer Regional Australia,94.8%,87.6%," 3,779 "
Norwood Payneham St Peters (C),South Australia,Major Cities of Australia,92.3%,86.8%," 31,585 "
Onkaparinga (C),South Australia,Major Cities of Australia,90.6%,83.5%," 140,961 "
Orroroo/Carrieton (DC),South Australia,Outer Regional Australia,>95%,91.3%, 699 
Peterborough (DC),South Australia,Outer Regional Australia,82.8%,72.0%," 1,470 "
Playford (C),South Australia,Major Cities of Australia,86.5%,73.9%," 72,425 "
Port Adelaide Enfield (C),South Australia,Major Cities of Australia,91.5%,82.6%," 105,880 "
Port Augusta (C),South Australia,Outer Regional Australia,88.7%,77.6%," 11,206 "
Port Lincoln (C),South Australia,Remote Australia - see note and refer to SA4 data,N/A,N/A," 11,782 "
Port Pirie City and Dists (M),South Australia,Outer Regional Australia,89.6%,80.2%," 14,441 "
Prospect (C),South Australia,Major Cities of Australia,94.2%,87.9%," 17,667 "
Renmark Paringa (DC),South Australia,Outer Regional Australia,>95%,83.8%," 8,204 "
Robe (DC),South Australia,Outer Regional Australia,94.2%,89.2%," 1,263 "
Roxby Downs (M),South Australia,Remote Australia - see note and refer to SA4 data,N/A,N/A," 2,941 "
Salisbury (C),South Australia,Major Cities of Australia,89.1%,78.5%," 114,763 "
Southern Mallee (DC),South Australia,Remote Australia - see note and refer to SA4 data,N/A,N/A," 1,720 "
Streaky Bay (DC),South Australia,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 1,715 "
Tatiara (DC),South Australia,Outer Regional Australia,89.3%,82.5%," 5,557 "
Tea Tree Gully (C),South Australia,Major Cities of Australia,93.1%,85.3%," 82,506 "
The Coorong (DC),South Australia,Outer Regional Australia,86.9%,77.8%," 4,457 "
Tumby Bay (DC),South Australia,Remote Australia - see note and refer to SA4 data,N/A,N/A," 2,241 "
Unley (C),South Australia,Major Cities of Australia,92.5%,88.4%," 32,926 "
Victor Harbor (C),South Australia,Inner Regional Australia,>95%,92.3%," 13,395 "
Wakefield (DC),South Australia,Inner Regional Australia,86.5%,78.5%," 5,537 "
Walkerville (M),South Australia,Major Cities of Australia,94.2%,90.0%," 6,778 "
Wattle Range (DC),South Australia,Outer Regional Australia,93.6%,85.5%," 9,916 "
West Torrens (C),South Australia,Major Cities of Australia,89.9%,82.5%," 51,839 "
Whyalla (C),South Australia,Outer Regional Australia,85.5%,75.7%," 17,494 "
Wudinna (DC),South Australia,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 1,026 "
Yankalilla (DC),South Australia,Inner Regional Australia,91.2%,83.7%," 4,774 "
Yorke Peninsula (DC),South Australia,Outer Regional Australia,91.3%,83.4%," 9,738 "
Unincorporated SA,South Australia,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 3,012 "
Albany (C),Western Australia,Outer Regional Australia,91.0%,80.7%," 31,107 "
Armadale (C),Western Australia,Major Cities of Australia,88.9%,77.2%," 69,570 "
Ashburton (S),Western Australia,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 11,339 "
Augusta-Margaret River (S),Western Australia,Inner Regional Australia,91.4%,80.3%," 12,635 "
Bassendean (T),Western Australia,Major Cities of Australia,89.3%,80.1%," 12,975 "
Bayswater (C),Western Australia,Major Cities of Australia,87.4%,78.5%," 57,472 "
Belmont (C),Western Australia,Major Cities of Australia,85.1%,74.8%," 35,165 "
Beverley (S),Western Australia,Outer Regional Australia,85.0%,77.4%," 1,498 "
Boddington (S),Western Australia,Inner Regional Australia,78.7%,66.6%," 1,453 "
Boyup Brook (S),Western Australia,Outer Regional Australia,83.5%,73.0%," 1,420 "
Bridgetown-Greenbushes (S),Western Australia,Outer Regional Australia,94.8%,84.1%," 3,882 "
Brookton (S),Western Australia,Outer Regional Australia,93.1%,82.7%, 759 
Broome (S),Western Australia,Remote Australia - see note and refer to SA4 data,N/A,N/A," 12,748 "
Broomehill-Tambellup (S)*,Western Australia,Outer Regional Australia,74.5%,64.1%, 827 
Bruce Rock (S),Western Australia,Remote Australia - see note and refer to SA4 data,N/A,N/A, 750 
Bunbury (C),Western Australia,Inner Regional Australia,94.7%,83.6%," 25,968 "
Busselton (C),Western Australia,Inner Regional Australia,92.9%,83.2%," 31,743 "
Cambridge (T),Western Australia,Major Cities of Australia,>95%,94.1%," 22,905 "
Canning (C),Western Australia,Major Cities of Australia,>95%,87.8%," 76,082 "
Capel (S),Western Australia,Inner Regional Australia,90.2%,79.0%," 14,004 "
Carnamah (S),Western Australia,Remote Australia - see note and refer to SA4 data,N/A,N/A, 441 
Carnarvon (S),Western Australia,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 4,142 "
Chapman Valley (S)*,Western Australia,Outer Regional Australia,60.1%,51.3%," 1,179 "
Chittering (S),Western Australia,Inner Regional Australia,82.0%,70.5%," 4,799 "
Claremont (T),Western Australia,Major Cities of Australia,>95%,93.5%," 9,016 "
Cockburn (C),Western Australia,Major Cities of Australia,88.3%,78.8%," 91,462 "
Collie (S),Western Australia,Inner Regional Australia,89.9%,73.1%," 6,971 "
Coolgardie (S),Western Australia,Outer Regional Australia,75.4%,59.8%," 2,660 "
Coorow (S),Western Australia,Outer Regional Australia,84.2%,74.5%, 836 
Corrigin (S),Western Australia,Remote Australia - see note and refer to SA4 data,N/A,N/A, 912 
Cottesloe (T),Western Australia,Major Cities of Australia,>95%,>95%," 6,848 "
Cranbrook (S),Western Australia,Outer Regional Australia,86.5%,73.9%, 846 
Cuballing (S),Western Australia,Outer Regional Australia,78.9%,71.3%, 707 
Cue (S),Western Australia,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 126 
Cunderdin (S),Western Australia,Outer Regional Australia,76.4%,68.4%," 1,138 "
Dalwallinu (S),Western Australia,Remote Australia - see note and refer to SA4 data,N/A,N/A," 1,092 "
Dandaragan (S),Western Australia,Outer Regional Australia,93.0%,84.9%," 2,759 "
Dardanup (S),Western Australia,Inner Regional Australia,89.1%,78.1%," 11,258 "
Denmark (S),Western Australia,Outer Regional Australia,84.3%,73.4%," 5,119 "
Derby-West Kimberley (S),Western Australia,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 6,033 "
Donnybrook-Balingup (S),Western Australia,Inner Regional Australia,90.2%,79.0%," 4,989 "
Dowerin (S),Western Australia,Outer Regional Australia,>95%,87.2%, 508 
Dumbleyung (S),Western Australia,Remote Australia - see note and refer to SA4 data,N/A,N/A, 521 
Dundas (S),Western Australia,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 625 
East Fremantle (T),Western Australia,Major Cities of Australia,91.1%,85.5%," 6,394 "
East Pilbara (S),Western Australia,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 9,246 "
Esperance (S),Western Australia,Remote Australia - see note and refer to SA4 data,N/A,N/A," 11,305 "
Exmouth (S),Western Australia,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 2,310 "
Fremantle (C),Western Australia,Major Cities of Australia,94.7%,86.4%," 26,450 "
Gingin (S),Western Australia,Inner Regional Australia,91.9%,78.9%," 4,484 "
Gnowangerup (S),Western Australia,Remote Australia - see note and refer to SA4 data,N/A,N/A, 959 
Goomalling (S)*,Western Australia,Outer Regional Australia,74.2%,68.8%, 801 
Gosnells (C),Western Australia,Major Cities of Australia,88.4%,77.4%," 97,821 "
Greater Geraldton (C),Western Australia,Outer Regional Australia,94.0%,79.7%," 30,224 "
Halls Creek (S),Western Australia,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 2,513 "
Harvey (S),Western Australia,Inner Regional Australia,92.5%,80.7%," 21,919 "
Irwin (S),Western Australia,Outer Regional Australia,>95%,86.2%," 2,968 "
Jerramungup (S),Western Australia,Remote Australia - see note and refer to SA4 data,N/A,N/A, 861 
Joondalup (C),Western Australia,Major Cities of Australia,>95%,87.2%," 128,904 "
Kalamunda (C),Western Australia,Major Cities of Australia,90.6%,80.6%," 47,402 "
Kalgoorlie/Boulder (C),Western Australia,Outer Regional Australia,87.7%,71.4%," 22,664 "
Karratha (C),Western Australia,Remote Australia - see note and refer to SA4 data,N/A,N/A," 16,718 "
Katanning (S),Western Australia,Outer Regional Australia,92.3%,78.0%," 3,176 "
Kellerberrin (S),Western Australia,Outer Regional Australia,83.8%,74.8%, 979 
Kent (S),Western Australia,Remote Australia - see note and refer to SA4 data,N/A,N/A, 428 
Kojonup (S),Western Australia,Outer Regional Australia,>95%,92.0%," 1,521 "
Kondinin (S),Western Australia,Remote Australia - see note and refer to SA4 data,N/A,N/A, 704 
Koorda (S),Western Australia,Remote Australia - see note and refer to SA4 data,N/A,N/A, 315 
Kulin (S),Western Australia,Remote Australia - see note and refer to SA4 data,N/A,N/A, 600 
Kwinana (C),Western Australia,Major Cities of Australia,84.5%,72.7%," 34,833 "
Lake Grace (S),Western Australia,Remote Australia - see note and refer to SA4 data,N/A,N/A, 944 
Laverton (S),Western Australia,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 1,059 "
Leonora (S),Western Australia,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 1,239 "
Mandurah (C),Western Australia,Major Cities of Australia,94.3%,82.4%," 70,627 "
Manjimup (S),Western Australia,Outer Regional Australia,94.1%,82.2%," 7,424 "
Meekatharra (S),Western Australia,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 798 
Melville (C),Western Australia,Major Cities of Australia,>95%,88.9%," 84,438 "
Menzies (S),Western Australia,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 447 
Merredin (S),Western Australia,Outer Regional Australia,79.9%,68.0%," 2,715 "
Mingenew (S),Western Australia,Outer Regional Australia,>95%,>95%, 330 
Moora (S),Western Australia,Outer Regional Australia,>95%,87.6%," 1,842 "
Morawa (S),Western Australia,Remote Australia - see note and refer to SA4 data,N/A,N/A, 538 
Mosman Park (T),Western Australia,Major Cities of Australia,91.9%,86.5%," 7,601 "
Mount Magnet (S),Western Australia,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 356 
Mount Marshall (S),Western Australia,Remote Australia - see note and refer to SA4 data,N/A,N/A, 389 
Mukinbudin (S),Western Australia,Remote Australia - see note and refer to SA4 data,N/A,N/A, 418 
Mundaring (S),Western Australia,Major Cities of Australia,89.3%,78.9%," 32,172 "
Murchison (S),Western Australia,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 134 
Murray (S),Western Australia,Major Cities of Australia,87.0%,73.8%," 14,573 "
Nannup (S),Western Australia,Outer Regional Australia,90.6%,81.7%," 1,149 "
Narembeen (S),Western Australia,Remote Australia - see note and refer to SA4 data,N/A,N/A, 683 
Narrogin (S),Western Australia,Outer Regional Australia,86.8%,77.6%," 4,023 "
Nedlands (C),Western Australia,Major Cities of Australia,>95%,>95%," 18,250 "
Ngaanyatjarraku (S),Western Australia,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 1,339 "
Northam (S),Western Australia,Inner Regional Australia,82.9%,71.9%," 9,004 "
Northampton (S),Western Australia,Remote Australia - see note and refer to SA4 data,N/A,N/A," 2,379 "
Nungarin (S),Western Australia,Remote Australia - see note and refer to SA4 data,N/A,N/A, 210 
Peppermint Grove (S),Western Australia,Major Cities of Australia,79.8%,75.7%," 1,470 "
Perenjori (S),Western Australia,Remote Australia - see note and refer to SA4 data,N/A,N/A, 475 
Perth (C),Western Australia,Major Cities of Australia,91.2%,82.2%," 26,749 "
Pingelly (S),Western Australia,Outer Regional Australia,93.3%,82.5%, 919 
Plantagenet (S),Western Australia,Outer Regional Australia,89.4%,78.5%," 4,330 "
Port Hedland (T),Western Australia,Remote Australia - see note and refer to SA4 data,N/A,N/A," 11,260 "
Quairading (S),Western Australia,Outer Regional Australia,92.9%,78.7%, 808 
Ravensthorpe (S),Western Australia,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 1,313 "
Rockingham (C),Western Australia,Major Cities of Australia,87.0%,75.9%," 105,754 "
Sandstone (S),Western Australia,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 78 
Serpentine-Jarrahdale (S),Western Australia,Major Cities of Australia,82.6%,70.9%," 24,591 "
Shark Bay (S),Western Australia,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 771 
South Perth (C),Western Australia,Major Cities of Australia,85.5%,79.8%," 37,440 "
Stirling (C),Western Australia,Major Cities of Australia,88.4%,80.3%," 183,276 "
Subiaco (C),Western Australia,Major Cities of Australia,94.1%,89.4%," 14,512 "
Swan (C),Western Australia,Major Cities of Australia,89.7%,77.7%," 114,972 "
Tammin (S),Western Australia,Outer Regional Australia,>95%,86.1%, 303 
Three Springs (S),Western Australia,Remote Australia - see note and refer to SA4 data,N/A,N/A, 421 
Toodyay (S),Western Australia,Inner Regional Australia,84.4%,72.6%," 3,851 "
Trayning (S),Western Australia,Remote Australia - see note and refer to SA4 data,N/A,N/A, 288 
Upper Gascoyne (S),Western Australia,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 210 
Victoria Park (T),Western Australia,Major Cities of Australia,82.7%,75.5%," 31,968 "
Victoria Plains (S),Western Australia,Outer Regional Australia,86.4%,75.5%, 750 
Vincent (C),Western Australia,Major Cities of Australia,83.1%,76.7%," 31,265 "
Wagin (S),Western Australia,Outer Regional Australia,90.3%,81.4%," 1,482 "
Wandering (S),Western Australia,Outer Regional Australia,88.5%,79.3%, 348 
Wanneroo (C),Western Australia,Major Cities of Australia,86.0%,75.4%," 161,346 "
Waroona (S),Western Australia,Inner Regional Australia,86.9%,73.2%," 3,452 "
West Arthur (S),Western Australia,Outer Regional Australia,84.1%,74.7%, 624 
Westonia (S),Western Australia,Remote Australia - see note and refer to SA4 data,N/A,N/A, 264 
Wickepin (S),Western Australia,Outer Regional Australia,>95%,89.6%, 556 
Williams (S),Western Australia,Outer Regional Australia,91.5%,80.5%, 784 
Wiluna (S),Western Australia,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 609 
Wongan-Ballidu (S),Western Australia,Outer Regional Australia,>95%,87.4%," 1,002 "
Woodanilling (S)*,Western Australia,Outer Regional Australia,70.4%,61.8%, 335 
Wyalkatchem (S),Western Australia,Outer Regional Australia,87.0%,74.2%, 422 
Wyndham-East Kimberley (S),Western Australia,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 5,585 "
Yalgoo (S),Western Australia,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 320 
Yilgarn (S),Western Australia,Remote Australia - see note and refer to SA4 data,N/A,N/A, 969 
York (S),Western Australia,Inner Regional Australia,87.3%,76.6%," 2,974 "
Break O'Day (M),Tasmania,Outer Regional Australia,94.0%,85.7%," 5,386 "
Brighton (M),Tasmania,Inner Regional Australia,>95%,89.3%," 13,587 "
Burnie (C),Tasmania,Outer Regional Australia,91.0%,83.1%," 15,920 "
Central Coast (M) (Tas.),Tasmania,Outer Regional Australia,93.8%,87.0%," 18,315 "
Central Highlands (M) (Tas.),Tasmania,Outer Regional Australia,91.2%,83.2%," 1,767 "
Circular Head (M),Tasmania,Outer Regional Australia,85.5%,79.0%," 6,433 "
Clarence (C),Tasmania,Inner Regional Australia,>95%,>95%," 47,402 "
Derwent Valley (M),Tasmania,Inner Regional Australia,93.4%,86.1%," 8,478 "
Devonport (C),Tasmania,Inner Regional Australia,93.1%,84.5%," 20,988 "
Dorset (M),Tasmania,Outer Regional Australia,92.6%,86.7%," 5,525 "
Flinders (M) (Tas.),Tasmania,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 865 
George Town (M),Tasmania,Outer Regional Australia,86.8%,81.3%," 5,764 "
Glamorgan/Spring Bay (M),Tasmania,Remote Australia - see note and refer to SA4 data,N/A,N/A," 4,075 "
Glenorchy (C),Tasmania,Inner Regional Australia,>95%,94.2%," 39,191 "
Hobart (C),Tasmania,Inner Regional Australia,>95%,>95%," 46,649 "
Huon Valley (M),Tasmania,Outer Regional Australia,90.9%,84.4%," 14,405 "
Kentish (M),Tasmania,Outer Regional Australia,85.7%,78.0%," 5,322 "
King Island (M),Tasmania,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 1,346 "
Kingborough (M),Tasmania,Inner Regional Australia,>95%,>95%," 30,923 "
Latrobe (M) (Tas.),Tasmania,Outer Regional Australia,93.1%,85.4%," 9,713 "
Launceston (C),Tasmania,Inner Regional Australia,94.8%,88.1%," 55,869 "
Meander Valley (M),Tasmania,Inner Regional Australia,90.6%,84.5%," 16,467 "
Northern Midlands (M),Tasmania,Inner Regional Australia,93.4%,86.6%," 11,170 "
Sorell (M),Tasmania,Inner Regional Australia,>95%,88.9%," 12,763 "
Southern Midlands (M),Tasmania,Outer Regional Australia,89.3%,82.0%," 5,144 "
Tasman (M),Tasmania,Outer Regional Australia,>95%,91.1%," 2,135 "
Waratah/Wynyard (M),Tasmania,Outer Regional Australia,91.1%,83.5%," 11,370 "
West Coast (M),Tasmania,Remote Australia - see note and refer to SA4 data,N/A,N/A," 3,423 "
West Tamar (M),Tasmania,Inner Regional Australia,>95%,89.5%," 19,931 "
Alice Springs (T),Northern Territory,Remote Australia - see note and refer to SA4 data,N/A,N/A," 20,685 "
Barkly (R),Northern Territory,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 5,408 "
Belyuen (S),Northern Territory,Remote Australia - see note and refer to SA4 data,N/A,N/A, 143 
Central Desert (R),Northern Territory,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 3,023 "
Coomalie (S),Northern Territory,Remote Australia - see note and refer to SA4 data,N/A,N/A," 1,112 "
Darwin (C),Northern Territory,Outer Regional Australia,>95%,>95%," 67,446 "
East Arnhem (R),Northern Territory,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 7,609 "
Katherine (T),Northern Territory,Remote Australia - see note and refer to SA4 data,N/A,N/A," 8,331 "
Litchfield (M)*,Northern Territory,Outer Regional Australia,65.8%,58.9%," 21,345 "
MacDonnell (R),Northern Territory,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 5,461 "
Palmerston (C),Northern Territory,Outer Regional Australia,>95%,89.4%," 28,583 "
Roper Gulf (R),Northern Territory,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 5,415 "
Tiwi Islands (R),Northern Territory,Remote Australia - see note and refer to SA4 data,N/A,N/A," 2,094 "
Victoria Daly (R),Northern Territory,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 2,331 "
Wagait (S),Northern Territory,Remote Australia - see note and refer to SA4 data,N/A,N/A, 440 
West Arnhem (R),Northern Territory,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 5,212 "
West Daly (R),Northern Territory,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 2,578 "
Unincorporated NT,Northern Territory,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 5,882 "
Unincorporated ACT,Australian Capital Territory,Major Cities of Australia,>95%,>95%," 345,325 "
Unincorp. Other Territories,Other Territories,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 3,866 "
,,,,,
,,,,,
* Indicates LGAs with apparent data issues resulting in coverage rates that may not be representative and should be treated with caution. ,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
